kenacideva	kenaci + eva
sāvassā	sā + eva + assā
anatikkamanīyāti	anatikkamanīyā + iti
āyañca	āyaṃ + ca
catūhāvuso	catūhi + āvuso
tīhāvuso	tīhi + āvuso
dvīhāvuso	dvīhi + āvuso
nūname	nūna + ime
hanūname	ha + nūna + ime
paname	pana + ime
hanūname	ha + nūna + ime
navahaṅgehi	navahi + aṅgehi
vuḍḍhihesā	vuḍḍhi + hi + esā
tāvāyaṃ	tāva + ayaṃ
panassāvuso	pana + assa + āvuso
cassānupassati	ca + assa + anupassati
cassānupassatīti	ca + assa + anupassati + iti
tiādinā	iti + ādinā
jhāyīhete	jhāyī + hi + ete
tathāhimaṃ	tathā + hi + imaṃ
atthābhinibbattesuṃ	attha + abhinibbattesuṃ
parisuddhenamhi	parisuddhena + amhi
parisuddhenamhi	parisuddhena + amhi
nīvaraṇātissa	nīvaraṇā + iti + assa
asatāsampajaññantissa	asatāsampajaññaṃ + iti + assa
ayonisomanasikārotissa	ayonisomanasikāro + iti + assa
assaddhiyantissa	assaddhiyaṃ + iti + assa
asaddhammassavanantissa	asaddhammassavanaṃ + iti + assa
asappurisasaṃsevotissa	asappurisasaṃsevo + iti + assa
bojjhaṅgātissa	bojjhaṅgā + iti + assa
sattapāhaṃ	satta + api + ahaṃ
satipaṭṭhānātissa	satipaṭṭhānā + iti + assa
cattāropāhaṃ	cattāro + api + ahaṃ
indriyasaṃvarotissa	indriyasaṃvaro + iti + assa
satisampajaññantissa	satisampajaññaṃ + iti + assa
saddhammassavanantissa	saddhammassavanaṃ + iti + assa
sappurisasaṃsevotissa	sappurisasaṃsevo + iti + assa
assaddhammassavanantissa	assaddhammassavanaṃ + iti + assa
pāṭikaṅkhanti	pāṭikaṅkhaṃ + iti
pāsaṃsametaṃ	pāsaṃsaṃ + etaṃ
hirīmāyaṃ	hirīmā + ayaṃ
tintiṇapadaniddese	tintiṇa + pada + niddese
tathāhissa	tathā + hi + assa
kiṃdiṭṭhikosi	kiṃdiṭṭhiko + asi
tuvanti	tuvaṃ + iti
pacchāpetaṃ	pacchā + api + etaṃ
nameso	na + me + eso
tettha	te + ettha
hupāli	hi + upāli
nanvāyaṃ	nanu + ayaṃ
idamatthaṃtissa	idaṃ + atthaṃ + iti + assa
indriyaasaṃvarotissa	indriyaasaṃvaro + iti + assa
upāraddhasmāti	upāraddha + asmā + iti
upāraddhamhāti	upāraddha + amhā + iti
aṭṭhāneti	aṭṭhāne + iti
miccādinā	miccā + ādinā
idamatthantissa	idaṃ + atthaṃ + iti + assa
pajahateva	pajahati + eva
dhammantipadassa	dhammaṃ + iti + padassa
appakampi	appakaṃ + api
maṅgalamuttamanti	maṅgalaṃ + uttamaṃ + iti
yathindakhīlo	yathā + indakhīlo
catūhapāyehi	catūhi + apāyehi
cābhiṭhānāni	ca + abhiṭhānāni
virattacittāyatike	virattacittā + āyatike
gorakkhettha	gorakkha + ettha
caññā	ca + aññā
petānamatthāya	petānaṃ + atthāya
hitāyassa	hitāya + assa
karaṇīyamatthakusalena	karaṇīyaṃ + atthakusalena
yantasantaṃ	yaṃ + taṃ + santaṃ
nāññamaññassa	na + aññamaññassa
yāvatāssa	yāvatā + assa
vihāramidhamāhu	vihāraṃ + idha + āhu
retīti	r + eti + iti
maparājitā	m + aparājitā
petānamatthāya	petānaṃ + atthāya
tāvassunihito	tāva + ssu + nihito
cakkaṃva	cakkaṃ + iva
rukkhaṃva	rukkhaṃ + iva
uṭṭhānenappamādena	uṭṭhānena + appamādena
pabbataṭṭhova	pabbataṭṭho + iva
okamokataubbhato	okaṃ + okato + ubbhato
kāyamimaṃ	kāyaṃ + imaṃ
niratthaṃva	niratthaṃ + iva
komaṃ	ko + imaṃ
pupphamiva	pupphaṃ + iva
pupphamivappacessati	pupphaṃ + iva + pacessati
mahoghova	mahogho + iva
attanova	attano + eva
dhanammatthi	dhanaṃ + me + atthi
khīraṃva	khīraṃ + iva
bhasmacchannova	bhasmacchanno + iva
muddhamassa	muddhaṃ + assa
bhāvanamiccheyya	bhāvanaṃ + iccheyya
mamevātivasā	maṃ + eva + ativasā
nidhīnaṃva	nidhīnaṃ + iva
ovadeyyānusāseyya	ovadeyya + anusāseyya
noccāvacaṃ	na + uccāvacaṃ
puttamicche	puttaṃ + icche
nayicche	na + icche
haṃsāva	haṃsa + iva
yassāsavā	yassa + āsavā
rahadova	rahado + iva
gāthātipadassa	gāthā + iti + padassa
jeyyamattānaṃ	jeyyaṃ + attānaṃ
duvidhajjhānanibbattanasamatthaṃ	duvidha + jhāna + nibbattana + samatthaṃ
kayirāthetaṃ	kayirātha + etaṃ
māvamaññetha	mā + avamaññetha
māppamaññetha	mā + appamaññetha
jīvitukāmova	jīvitukāmo + iva
nābbaṇaṃ	na + abbaṇaṃ
visamanveti	visaṃ + anveti
māvoca	mā + avoca
kasāmiva	kasā + iva
parijiṇṇamidaṃ	parijiṇṇaṃ + idaṃ
yānimānipaviddhāni	yāna + imāni + apaviddhāni
alābūneva	alābūni + eva
alāpūneva	alāpūni + eva
balibaddhova	balibaddho + iva
balivaddova	balivaddo + iva
jiṇṇakoñcāva	jiṇṇakoñcā + iva
khīṇamaccheva	khīṇamacche + iva
cāpātikhīṇāva	cāpātikhīṇā + iva
yathāññamanusāsati	yathā + aññamanusāsati
vasmamayaṃ	v + asmamayaṃ
vajiraṃvamhamayaṃ	vajiraṃ + iva + amhamayaṃ
sālamivotthataṃ	sālaṃ + iva + otthataṃ
nāññamañño	na + aññamañño
nāññamañño	nāññaṃ + añño
attadatthamabhiññāya	attadatthaṃ + abhiññāya
jitamassa	jitaṃ + assa
ñātīnaṃva	ñātīnaṃ + iva
nakkhattapathaṃva	nakkhattapathaṃ + iva
yuñjamattānaṃ	yuñjaṃ + attānaṃ
sotthimāgataṃ	sotthiṃ + āgataṃ
katapuññampi	katapuññaṃ + api
bhantaṃva	bhantaṃ + iva
dajjāppasmimpi	dajjā + appasmim + api
ajjatanāmiva	ajjatanāṃ + iva
mitabhāṇimpi	mitabhāṇiṃ + api
paṇḍupalāsova	paṇḍupalāso + iva
yamapurisāpi	yamapurisā + api
pātheyyampi	pātheyyaṃ + api
idhevameso	idha + eva + eso
kaliṃva	kaliṃ + iva
buddhānamiñjitaṃ	buddhānaṃ + iñjitaṃ
tulaṃva	tulaṃ + iva
varamādāya	varaṃ + ādāya
maggānaṭṭhaṅgiko	maggānaṃ + aṭṭhaṅgiko
maggamisippaveditaṃ	maggaṃ + isippaveditaṃ
khīrapakova	khīrapako + iva
sāradikaṃva	sāradikaṃ + iva
santimaggameva	santimaggaṃ + eva
yānimānipaviddhāni	yāni + imāni + apaviddhāni
himavantova	himavanto + iva
asantettha	asanto + ettha
damayamattānaṃ	damayaṃ + attānaṃ
raṭṭhapiṇḍamasaññato	raṭṭhapiṇḍaṃ + asaññato
nirayāyupakaḍḍhati	nirayāya + upakaḍḍhati
rājābhirūhati	rājā + abhirūhati
ājānīyāva	ājānīyā + eva
kuñjarāva	kuñjarā + eva
mahāvarāhova	mahāvarāho + iva
uddharathattānaṃ	uddharatha + attānaṃ
sannova	sanno + iva
sattova	satto + iva
phalamicchaṃva	phalaṃ + icchaṃ + iva
abhivaṭṭhaṃva	abhivaṭṭhaṃ + iva
abhivaḍḍhaṃva	abhivaḍḍhaṃ + iva
abhivaṭṭaṃva	abhivaṭṭaṃ + iva
yāvantettha	yāvanto + ettha
naḷaṃva	naḷaṃ + iva
sasova	saso + iva
rāgarattānupatanti	rāgarattā + anupatanti
makkaṭakova	makkaṭako + iva
dukkhamidanti	dukkha + idaṃ + iti
tatrāyamādi	tatra + ayaṃ + ādi
codayattānaṃ	codaya + attānaṃ
saṃyamamattānaṃ	saṃyamaṃ + attānaṃ
saṃyamayattānaṃ	saṃyamaya + attānaṃ
bhadraṃva	bhadraṃ + iva
virajamāsīnaṃ	virajaṃ + āsīnaṃ
katakiccamanāsavaṃ	katakiccaṃ + anāsavaṃ
brāhmaṇassetadakiñci	brāhmaṇassa + etad + akiñci
aggihuttaṃva	aggihuttaṃ + iva
pokkharapatteva	pokkharapatte + iva
saccamudīraye	saccaṃ + udīraye
saṅgamupaccagā	saṅgaṃ + upaccagā
satevīsacatussatā	sa + tevīsa + catusatā
attalokaṃ	atta + lokaṃ
dhammaṭṭhamaggañca	dhammaṭṭha + maggaṃ + ca
gāthāyuddānaṃ	gāthāya + uddānaṃ
jarattekādasa	jarā + atta + ekādasa
pupphabālasahassamhi	puppha + bāla + sahassamhi
pāpasukhamhi	pāpa + sukhamhi
satevīsa	sa + tevīsa
yamakappamādo	yamaka + appamādo
gāthānamuddānaṃ	gāthānaṃ + uddānaṃ
jīvakapañhavatthu	jīvaka + pañha + vatthu
belaṭṭhasīsattheravatthu	belaṭṭhasīsa + thera + vatthu
anuruddhattheravatthu	anuruddha + thera + vatthu
mahākaccāyanattheravatthu	mahākaccāyana + thera + vatthu
anatthapucchakabrāhmaṇavatthu	anattha + pucchaka + brāhmaṇa + vatthu
sahāyakabrāhmaṇavatthu	sahāyaka + brāhmaṇa + vatthu
petānamatthāya	petānaṃ + atthāya
abalassaṃva	abalassaṃ + iva
ñātīva	ñātī + iva
ayasāva	ayasā + iva
sūriyova	sūriyo + iva
suriyova	suriyo + iva
yassussadā	yassa + ussadā
disvānassā	disvāna + assā
ummujjanimujjampi	ummujjanimujjaṃ + api
thūpañcassa	thūpaṃ + ca + assa
attanāvedi	attanā + avedi
khuddaputtāmhi	khuddaputtā + amhi
yañcidaṃ	yaṃ + ca + idaṃ
phassāti	phassā + iti
paramanti	paramaṃ + iti
yassantarato	yassa + antarato
bhavissantipissa	bhavissaṃ + iti + api + assa
vanavasesā	vā + anavasesā
taṇhakkhayasukhassete	taṇhakkhayasukhassa + ete
muñcāmahaṃ	muñcāmi + ahaṃ
tete	te + ete
pabbatova	pabbato + iva
nibbānamattanoti	nibbānaṃ + attano + iti
yassāyaṃ	yassa + ayaṃ
vippamokkhamāhaṃsu	vippamokkhaṃ + āhaṃsu
nissaraṇamāhaṃsu	nissaraṇaṃ + āhaṃsu
asesamete	asesaṃ + ete
yakkhampi	yakkhaṃ + api
yassevaṃ	yassa + evaṃ
jīvitampi	jīvitaṃ + api
nayimehi	na + imehi
upeccapi	upecca + api
uppatitvāpi	uppatitvā + api
palāyatanti	palāyataṃ + iti
kilantosīti	kilanto + asi + iti
kilantomhīti	kilanto + amhā + iti
kalyāṇiyāsi	kalyāṇiyā + asi
cāsi	ca + asi
visamānīva	visamāni + iva
kilantomhīti	kilanto + amhi + iti
siddhamidanti	siddhaṃ + idaṃ + iti
vidūti	vidū + iti
tamogadhanti	taṃ + ogadhaṃ + iti
saṅgamaticca	saṅgaṃ + aticca
metīti	m + eti + iti
etete	ete + te
pajjotamivādhipātakā	pajjotaṃ + iva + adhipātakā
obhāsitameva	obhāsitaṃ + eva
anārammaṇamevetaṃ	anārammaṇaṃ + eva + etaṃ
iccheyyāhaṃ	iccheyyaṃ + ahaṃ
navapi	nava + api
paṭiccappabhavanti	paṭicca + pabhavanti
āyujaṭilavekkhaṇā	āyu + jaṭila + paccavekkhaṇā
macchāva	macchā + iva
vaggamidaṃ	vaggaṃ + idaṃ
vaggamidaṭṭhakaṃ	vaggaṃ + ida + aṭṭhakaṃ
udānamitīdamāhu	udānaṃ + iti + idaṃ + āhu
atthāyetaṃ	atthāya + etaṃ
udānamitimāhu	udānaṃ + iti + āhu
udānantidamāhu	udānaṃ + iti + idaṃ + āhu
atthamāgamāti	atthamāgamā + iti
vaggamāhu	vaggaṃ + āhu
tadaṅgādippahānavasena	tad + aṅga + ādi + pahāna + vasena
makkhāgato	makkha + āgato
puññameva	puññaṃ + eva
amaccharāti	amaccharā + iti
manasānukampaṃ	manasā + anukampaṃ
yajamānānupariyagā	yajamānā + anupariyagā
sattimānidha	satta + imāni + idha
suguttānidha	suguttāni + idha
yañcaññaṃ	yaṃ + ca + aññaṃ
katvānākusalaṃ	katvāna + akusalaṃ
akatvākusalaṃ	akatvā + akusalaṃ
akatvākusalaṃ	akatvā + kusalaṃ
suṇāthetaṃ	suṇātha + etaṃ
esanāti	esanā + iti
akathaṃkathīti	akathaṃkathī + iti
savāhananti	savāhanaṃ + iti
muttamanti	m + uttamaṃ + iti
addhāti	addhā + iti
ekasaṃyojanampi	ekasaṃyojanaṃ + api
bhāvitattaññataraṃ	bhāvitatta + aññataraṃ
puttamicchanti	puttaṃ + icchanti
ekasaṃyojanampi	ekasaṃyojanaṃ + api
kusāpi	kusā + api
pattāpi	pattā + api
sāsaneti	sāsane + iti
santimevādhigacchatīti	santiṃ + eva + adhigacchati + iti
vuṭṭhīva	vuṭṭhi + iva
tālapakkaṃva	tālapakkaṃ + iva
ādiccovudayaṃ	ādicco + iva + udayaṃ
bhindantāyaṃ	bhindanto + ayaṃ
udabindūva	udabindu + iva
yepassa	ye + api + assa
dassanampahaṃ	dassanaṃ + api + ahaṃ
savanampahaṃ	savanaṃ + api + ahaṃ
upasaṅkamanampahaṃ	upasaṅkamanaṃ + api + ahaṃ
payirupāsanampahaṃ	payirupāsanaṃ + api + ahaṃ
anussaraṇampahaṃ	anussaraṇaṃ + api + ahaṃ
anupabbajjampahaṃ	anupabbajjaṃ + api + ahaṃ
anussatimpahaṃ	anussatiṃ + api + ahaṃ
raṇañjahātipi	raṇañjaha + iti + api
catukkañca	catukkaṃ + ca
ekakamhi	ekako + amhi
yadeko	yadā + eko
sappavisaṃva	sappavisaṃ + iva
jiṇṇamivattacaṃ	jiṇṇaṃ + iva + tacaṃ
jiṇṇamiva	jiṇṇaṃ + iva
bhisapupphaṃva	bhisapupphaṃ + iva
naḷasetuṃva	naḷasetuṃ + iva
vitathamidanti	vitathaṃ + idaṃ + iti
yassānusayā	yassa + anusayā
vuṭṭhimpi	vuṭṭhiṃ + api
saheyyumāgataṃ	saheyyuṃ + āgataṃ
baddhāsi	baddhā + asi
aṭṭhamahāsaṃvegavatthusamāvajjanañca	aṭṭha + mahā + saṃvega + vatthu + samāvajjanaṃ + ca
tāhaṃ	te + ahaṃ
imāvuso	ime + āvuso
sahottappañāṇaṃ	saha + ottappa + ñāṇaṃ
abhisāpāyaṃ	abhisāpo + ayaṃ
abhisapāyaṃ	abhisapo + ayaṃ
chavālātaṃva	chavālātaṃ + iva
tvevidaṃ	tu + eva + idaṃ
mahiyekarattivāso	mahiyā + ekarattivāso
punupeyya	aññataraṃ + api
puttamiccheyya	puttaṃ + iccheyya
sandiṭṭhikasamparāyikasokaparidevādinānappakārakaṃ	sandiṭṭhika + samparāyika + sokaparidevā + ādi + nānappakārakaṃ
visālova	visālo + iva
pabbajitāpi	pabbajitā + api
tiṃsapalaguḷapiṇḍappamāṇāva	tiṃsa + pala + guḷapiṇḍa + pamāṇā + eva
sabbānipetāni	sabbāni + api + etāni
parittamettha	parittaṃ + ettha
dukkhamettha	dukkhaṃ + ettha
patthayamappamatto	patthayaṃ + appamatto
padumaṃva	padumaṃ + iva
cundāti	cunda + iti
tādisāti	tādisā + iti
iṇamatthīti	iṇaṃ + atthi + iti
kiñcikkhamādeti	kiñcikkhaṃ + ādeti
jaññāti	jaññā + iti
cattānaṃ	ca + attānaṃ
mavajānāti	m + avajānāti
yathāpedaṃ	yathā + api + idaṃ
pañcamatthi	pañcamo + atthi
sūdha	su + idha
padamaccutaṃ	padaṃ + accutaṃ
aniketamasanthavaṃ	aniketaṃ + asanthavaṃ
jāyantamassa	jāyantaṃ + assa
sinehamassa	sinehaṃ + assa
munimappamattaṃ	muniṃ + appamattaṃ
sīhaṃva	sīhaṃ + iva
vātaṃva	vātaṃ + iva
padmaṃva	padmaṃ + iva
tasaraṃva	tasaraṃ + iva
tāvamhi	tāva + amhi
pañcakkhandhadvādasāyatanadvattiṃsākārasaccapaṭiccasamuppādādivasena	pañcakkhandha + dvādasa + āyatana + dvattiṃsākāra + sacca + paṭiccasamuppāda + ādi + vasena
sālīnamannaṃ	sālīnaṃ + annaṃ
esāmagandho	esa + āmagandho
paresamādāya	paresaṃ + ādāya
macchamaṃsānamanāsakattaṃ	macchamaṃsānaṃ + anāsakattaṃ
satamasnamānā	sataṃ + asnamānā
nāggihuttassupasevanā	na + aggihuttassupasevanā
randhamevānupassī	randhaṃ + eva + anupassī
akkhātampi	akkhātaṃ + api
puññappabhāvānuggahitasarīrā	puñña + pabhāva + anuggahita + sarīrā
brāhmaṇānamadā	brāhmaṇānaṃ + adā
aṭṭhānavutimāgamuṃ	aṭṭhānavutiṃ + āgamuṃ
evameso	evaṃ + eso
bhariyāvamaññatha	bhariyā + avamaññatha
indaṃva	indaṃ + iva
brāhmaṇānāsuṃ	brāhmaṇānaṃ + āsuṃ
tebhirattā	te + abhirattā
veko	vā + eko
heta	hi + eta
isimavocuṃ	isiṃ + avocuṃ
kvajja	kva + ajja
aññāsamatimaññihanti	aññāsaṃ + atimaññi + ahaṃ + iti
paṇṇacchadanasālāpi	paṇṇa + chadana + sālā + api
sappasseva	sappassa + iva
matante	mataṃ + te
cīvaracetāpananti	cīvaracetāpanaṃ + iti
cātumāsapaccayapavāraṇā	cātumāsa + paccayapavāraṇā
uttariñcassa	uttariṃ + ca + assa
buddhādiāmisapūjā	buddha + ādi + āmisa + pūjā
suciraparinibbutopi	suciraparinibbuto + api
pacchimājanatānukampamānasā	pacchimājanatā + anukampamānasā
duggatapaṇṇākārabhūte	duggata + paṇṇākāra + bhūte
ratanattayapaṇāmagāthāyo	ratanattaya + paṇāma + gāthāyo
saṃvegaparikittanapāṭhañca	saṃvega + parikittana + pāṭhaṃ + ca
yoccantasuddhabbarañāṇalocano	yo + accanta + suddha + bara + ñāṇa + locano
pāpūpakilesaghātako	pāpa + upakilesa + ghātako
sabbupaddavā	sabba + upaddavā
janatānukampa	janatā + anukampa
yoccanta	yo + accanta
suddhabbara	suddha + bara
pākāmata	pāka + amata
sukhettābhyati	sukhetta + abhyati
maggapākāmatabhedabhinnako	magga + pāka + amata + bheda + bhinnako
dhammapahaṃsāna	dhamma + pahaṃsāna
dhammapahaṃsānapāṭhaṃ	dhamma + pahaṃsāna + pāṭhaṃ
dvattiṃsākārapaccavekkhaṇa	dvattiṃsa + ākāra + paccavekkhaṇa
dvattiṃsākārapāṭhaṃ	dvattiṃsa + ākāra + pāṭhaṃ
sabbītiyo	sabba + ītiyo
kāladānasuttagāthā	kāladānasutta + gāthā
santikaro	santi + karo
saddhammasenā	saddhamma + senā
pāpūpakilesajetā	pāpa + upakilesa + jetā
santiniyojako	santi + niyojako
namokārānubhāvena	namo + kāra + ānubhāvena
paṭirūpadesavāso	paṭirūpa + desa + vāso
yambuddhaseṭṭho	yaṃ + buddhaseṭṭho
viriyampītipassaddhi	viriyaṃ + pīti + passaddhi
yandunnimittaṃ	yaṃ + dunnimittaṃ
devatāgatā	devatā + gatā
mārātirekamabhiyujjhitasabbarattiṃ	māra + atirekaṃ + abhiyujjhita + sabba + rattiṃ
ghorampanāḷavakamakkhamathaddhayakkhaṃ	ghoraṃ + pana + āḷavakaṃ + akkhama + thaddha + yakkhaṃ
dāvaggicakkamasanīva	dāvaggi + cakkaṃ + asanī + iva
ukkhittakhaggamatihatthasudāruṇantaṃ	ukkhitta + khaggaṃ + atihattha + sudāruṇaṃ + taṃ
dhāvantiyojanapathaṅgulimālavantaṃ	dhāvaṃ + tiyojana + patha + aṅguli + mālavantaṃ
vādābhiropitamanaṃ	vāda + abhiropita + manaṃ
atiandhabhūtaṃ	atiandha + bhūtaṃ
nandopanandabhujagaṃ	nandopananda + bhujagaṃ
iddhūpadesavidhinā	iddhi + upadesa + vidhinā
dinadine	dina + dine
nandivaḍḍhano	nandi + vaḍḍhano
asaṅkiliṭṭhāsaṅkilesikā	asaṅkiliṭṭha + asaṅkilesikā
nevācayagāmino	neva + ācaya + gāmino
nāpacayagāmino	na + apacaya + gāmino
adāsime	adāsi + me
vaññā	vā + aññā
uddissanādhiṭṭhānagāthāyo	uddissana + adhiṭṭhāna + gāthāyo
uddissanādhiṭṭhānā	uddissana + adhiṭṭhānā
vomataṃ	vo + amataṃ
nokāsaṃ	na + okāsaṃ
tesottamānubhāvena	tesaṃ + uttama + ānubhāvena
sattānantāppamāṇakā	satta + ananta + appamāṇakā
cāpyadiṭṭhā	ca + api + adiṭṭhā
catuyonikā	catu + yonikā
pattidānamme	patti + dānaṃ + me
tisaraṇagamanaṃ	ti + saraṇa + gamanaṃ
tisaraṇa	ti + saraṇa
saddhāpakatamesānaṃ	saddhāpakataṃ + esānaṃ
usūyakañca	usūyakaṃ + ca
daḷhamāruhitvā	daḷhaṃ + āruhitvā
nevācare	na + eva + ācare
kāyagatātyatthu	kāyagatā + te + atthu
tamovassa	tamo + eva + assa
paramasuddhippattapañño	parama + suddhi + patta + pañño
pahānamāsavānaṃ	pahānaṃ + āsavānaṃ
anagārameti	anagāraṃ + eti
ñāṇamavecca	ñāṇaṃ + avecca
sotukāmamhāti	sotukāma + amhā + iti
rājadūtābhidhāvantu	rājadūtā + abhidhāvantu
pahitattampi	pahitattaṃ + api
jīvamanupucchasi	jīvaṃ + anupucchasi
mevaṃ	me + evaṃ
pagāḷhettha	pagāḷha + ettha
medavaṇṇaṃva	medavaṇṇaṃ + iva
nomhi	no + amhi
tassijjheti	tassa + ijjhe + iti
hutamijjhe	hutaṃ + ijjhe
vedagumaddasāma	vedaguṃ + addasāma
tassijjheti	tassa + ijjhe + iti
caññāsi	ca + aññāsi
hutamatthu	hutaṃ + atthu
yaññamāgataṃ	yaññaṃ + āgataṃ
vattayamappamatto	vattayaṃ + appamatto
byagghusabhova	byagghusabho + iva
vīsāyapi	vīsāya + api
tiṃsāyapi	tiṃsāya + api
cattālīsāyapi	cattālīsāya + api
paññāsāyapi	paññāsāya + api
etthappatiṭṭhāya	ettha + patiṭṭhāya
bhāvayamappamāṇaṃ	bhāvayaṃ + appamāṇaṃ
satatamappamatto	satataṃ + appamatto
kenattanā	kena + attanā
careyyāsīti	careyyāsi + iti
daharopi	daharo + api
pattinamāhu	pattinaṃ + āhu
dantamāhu	dantaṃ + āhu
vigatarajamanaṅgaṇaṃ	vigatarajaṃ + anaṅgaṇaṃ
saṃsāramaticca	saṃsāraṃ + aticca
mānusakañca	mānusakaṃ + ca
navamahaggatakusalacetanābhedañca	nava + mahaggata + kusalacetanā + bhedaṃ + ca
jālamaticca	jālaṃ + aticca
vīriyavāti	vīriyavā + iti
yānidhatthi	yāni + idha + atthi
vedamaticca	vedaṃ + aticca
caraṇavāti	caraṇavā + iti
mānamathopi	mānaṃ + atho + api
paribbājakamāhu	paribbājakaṃ + āhu
attanāttānaṃ	attano + attānaṃ
puññakhettamanuttaraṃ	puññakhettaṃ + anuttaraṃ
tesamantakaromi	tesaṃ + antakaromi
okāsakammamattampi	okāsakammamattaṃ + api
okāsamattampi	okāsamattaṃ + api
kaṅkhitamaññāsi	kaṅkhitaṃ + aññāsi
adhivāsetveva	adhivāsetu + eva
animittamanaññātaṃ	animittaṃ + anaññātaṃ
jarampi	jaraṃ + api
phalānamiva	phalānaṃ + iva
evamabbhāhato	evaṃ + abbhāhato
hiṃsamattānaṃ	hiṃsaṃ + attānaṃ
hiṃsamattānamattanā	hiṃsaṃ + attānaṃ + attanā
sokamappajahaṃ	sokaṃ + appajahaṃ
phandantevidha	phandanti + eva + idha
saraṇamādittaṃ	saraṇaṃ + ādittaṃ
tūlaṃva	tūlaṃ + iva
pajappañca	pajappaṃ + ca
puṭṭhumāgamhā	puṭṭhuṃ + āgamhā
nāṅgulīhi	na + aṅgulīhi
dīgharattamanusayitaṃ	dīgharattaṃ + anusayitaṃ
tenevābādhena	tena + eva + ābādhena
bhojanamatthi	bhojanaṃ + atthi
timisamāyanti	timisaṃ + āyanti
nibbānapadābhipatthayāno	nibbānapada + abhipatthayāno
bhiyyassuppajjate	bhiyyo + assa + uppajjate
padakasma	padakā + asma
rajamākirasī	rajaṃ + ākirasī
samuppilavāte	samuppilavā + te
tīramapatthi	tīraṃ + api + atthi
cakkamisivhaye	cakkaṃ + isi + avhaye
nadaṃva	nadaṃ + iva
turitamavasarī	turitaṃ + avasarī
jalitamiva	jalitaṃ + iva
ukkāmukheva	ukkāmukhe + iva
sikhimiva	sikhiṃ + iva
saradarivabbhamuttaṃ	sarada + iva + abbhamuttaṃ
vipulamalattha	vipulaṃ + alattha
athattano	atha + attano
gamanamanussaranto	gamanaṃ + anussaranto
ahitamanussarāmi	ahitaṃ + anussarāmi
cāpimassa	ca + api + imassa
phusissatāyaṃ	phusissati + ayaṃ
vattessatāyaṃ	vattessati + ayaṃ
giramabbhudīrayi	giraṃ + abbhudīrayi
ciramidhāvaseso	ciraṃ + idha + avaseso
dhammamaggaṃ	dhammaṃ + aggaṃ
aññātametaṃ	aññātaṃ + etaṃ
vanantamabhihāraye	vanantaṃ + abhihāraye
attānamabhitosayaṃ	attānaṃ + abhitosayaṃ
gāmantamabhihāraye	gāmantaṃ + abhihāraye
gāmamāgamma	gāmaṃ + āgamma
rukkhaṃvupanivattati	rukkhaṃ + eva + upanivattati
rukkhaṃva	rukkhaṃ + eva
monamakkhātaṃ	monaṃ + akkhātaṃ
pūrova	pūro + iva
dvayatānupassanāti	dvayatānupassanā + iti
siyātissu	siyā + iti + assu
upadhipaccayāti	upadhipaccayā + iti
avijjāyeva	avijjāya + eva
phassapaccayāti	phassapaccayā + iti
taṇhāpaccayāti	taṇhāpaccayā + iti
upādānapaccayāti	upādānapaccayā + iti
ārambhapaccayāti	ārambhapaccayā + iti
āhārapaccayāti	āhārapaccayā + iti
iñjitapaccayāti	iñjitapaccayā + iti
santatarāti	santatarā + iti
diṭṭhamariyehi	diṭṭhaṃ + ariyehi
sampamūḷhetthaviddasu	sampamūḷha + ettha + aviddasu
upādānārambhaāhārā	upādāna + ārambha + āhārā
soḷasāti	soḷasā + iti
monamajjhagāti	monamajjhagā + iti
sallaviddhova	sallaviddho + iva
maddantenaṃ	maddanti + enaṃ
bhinnamivodakaṃ	bhinnaṃ + iva + odakaṃ
bahunābhichanno	bahunā + abhichanno
purimeva	purime + eva
visamanti	visamaṃ + iti
appañhidaṃ	appaṃ + hi + idaṃ
maccheva	macche + iva
āsattimakubbamāno	āsattiṃ + akubbamāno
caramappamatto	caraṃ + appamatto
duṭṭhamanāpi	duṭṭhamanā + api
kathamaccayeyya	kathaṃ + accayeyya
anānupuṭṭhova	anānupuṭṭho + eva
tamariyadhammaṃ	taṃ + ariyadhammaṃ
yadattani	yad + attani
māyañca	māyaṃ + ca
diṭṭhimidheva	diṭṭhiṃ + idha + eva
evābhijānaṃ	evaṃ + abhijānaṃ
etābhijānaṃ	etaṃ + abhijānaṃ
suddhimāha	suddhiṃ + āha
hīnāti	hīnā + iti
sabbamāha	sabbaṃ + āha
yadattanī	yad + attanī
hīnamaññaṃ	hīnaṃ + aññaṃ
diṭṭhimpi	diṭṭhiṃ + api
samoti	samo + iti
attānamanūpaneyya	attānaṃ + anūpaneyya
ñāṇepi	ñāṇe + api
diṭṭhimapi	diṭṭhiṃ + api
yassūbhayante	yassa + ubhayante
paṇidhīdha	paṇidhi + idha
aṇūpi	aṇu + api
diṭṭhimanādiyānaṃ	diṭṭhiṃ + anādiyānaṃ
vassasatāpi	vassasatā + api
jarasāpi	jarasā + api
vinābhāvasantamevidaṃ	vinābhāva + santaṃ + eva + idaṃ
mamidanti	mama + idaṃ + iti
mamayidanti	mama + idaṃ + iti
diṭṭhāpi	diṭṭhā + api
sutāpi	sutā + api
nāmamidaṃ	nāmaṃ + idaṃ
nāmamevāvasissati	nāmaṃ + eva + avasissati
vivittamāsanaṃ	vivittaṃ + āsanaṃ
sāmaggiyamāhu	sāmaggiyaṃ + āhu
visuddhimicchati	visuddhiṃ + icchati
